count,deep,Source,Target,Weight
1575,375,9981824,9981896,4
1576,376,9981872,9981896,1
1577,377,9981896,9981896,0
1578,375,9982160,9981944,-14
1579,376,9981752,9981944,12
1580,377,9981752,9982112,22
1581,378,9982088,9982112,1
1582,379,9982040,9982112,4
1583,380,9982112,9982112,0
1584,378,9981656,9981944,18
1585,379,9981656,9981680,1
1586,380,9982376,9981680,-44
1587,381,9982136,9981680,-29
1588,382,9981680,9981680,0
1589,380,9981728,9981944,13
1590,381,9981944,9981944,0
1591,375,9982184,9982712,33
1592,376,9982208,9982712,31
1593,377,9982232,9982712,30
1594,378,9982232,9982352,7
1595,379,9982232,9982232,0
1596,380,9982280,9982352,4
1597,381,9982304,9982352,3
1598,382,9982352,9982352,0
1599,376,9983096,9984200,69
1600,377,9983096,9983864,48
1601,378,9983096,9983096,0
1602,379,9983120,9983864,46
1603,380,9983120,9982928,-12
1604,381,9982736,9982928,12
1605,382,9982856,9982928,4
1606,383,9982856,9982760,-6
1607,384,9982760,9982760,0
1608,384,9982976,9982928,-3
1609,385,9982976,9982544,-27
1610,386,9982544,9982544,0
1611,386,9982928,9982928,0
1612,383,9982904,9983864,60
1613,384,9982904,9983744,52
1614,385,9982904,9983456,34
1615,386,9982904,9983024,7
1616,387,9982904,9983000,6
1617,388,9983000,9983000,0
1618,388,9982952,9983024,4
1619,389,9983144,9983024,-8
1620,390,9983024,9983024,0
1621,388,9983072,9983456,24
1622,389,9983072,9982472,-38
1623,390,9982496,9982472,-2
1624,391,9982472,9982472,0
1625,390,9982424,9983456,64
1626,391,9982520,9983456,58
1627,392,9982520,9982568,3
1628,393,9982568,9982568,0
1629,393,9982640,9983456,51
1630,394,9982664,9983456,49
1631,395,9982688,9983456,48
1632,396,9983456,9983456,0
1633,390,9983576,9983744,10
1634,391,9983576,9983888,19
1635,392,9983720,9983888,10
1636,393,9983168,9983888,45
1637,394,9983168,9983168,0
1638,395,9983792,9983888,6
1639,396,9983888,9983888,0
1640,393,9983744,9983744,0
1641,392,9983648,9983864,13
1642,393,9983648,9983648,0
1643,394,9983264,9983864,37
1644,395,9983864,9983864,0
1645,391,9983624,9984200,36
1646,392,9983624,9984080,28
1647,393,9983624,9984608,61
1648,394,9983624,9983384,-15
1649,395,9983480,9983384,-6
1650,396,9983480,9983336,-9
1651,397,9983696,9983336,-23
1652,398,9983240,9983336,6
1653,399,9983336,9983336,0
1654,397,9983288,9983384,6
1655,398,9983840,9983384,-29
1656,399,9983816,9983384,-27
1657,400,9983384,9983384,0
1658,396,9983408,9984608,75
1659,397,9983408,9984656,78
1660,398,9983528,9984656,70
1661,399,9983528,9983528,0
1662,400,9983552,9984656,69
1663,401,9983552,9984392,52
1664,402,9983600,9984392,49
1665,403,9983600,9984560,60
1666,404,9984224,9984560,21
1667,405,9984512,9984560,3
1668,406,9984584,9984560,-2
1669,407,9984536,9984560,1
1670,408,9983960,9984560,37
1671,409,9984560,9984560,0
1672,404,9983936,9984392,28
1673,405,9984248,9984392,9
1674,406,9984392,9984392,0
1675,400,9984272,9984608,21
1676,401,9984608,9984608,0
1677,399,9984440,9984080,-23
1678,400,9984008,9984080,4
1679,401,9984032,9984080,3
1680,402,9984056,9984080,1
1681,403,9984080,9984080,0
1682,399,9984128,9984200,4
1683,400,9984128,9984128,0
1684,401,9984488,9984200,-18
1685,402,9984152,9984200,3
1686,403,9984368,9984200,-11
1687,404,9984176,9984200,1
1688,405,9984200,9984200,0
1689,398,9984320,9989232,307
1690,399,9984320,9985064,46
1691,400,9984320,9984416,6
1692,401,9984416,9984416,0
1693,401,9985136,9985064,-5
1694,402,9985376,9985064,-20
1695,403,9985376,9985376,0
1696,401,9985256,9989232,248
1697,402,9985256,9986192,58
1698,403,9985256,9985448,12
1699,404,9985256,9985208,-3
1700,405,9984752,9985208,28
1701,406,9984848,9985208,22
1702,407,9985112,9985208,6
1703,408,9984920,9985208,18
1704,409,9984968,9985208,15
1705,410,9985208,9985208,0
1706,405,9985160,9985448,18
1707,406,9985160,9985424,16
1708,407,9984944,9985424,30
1709,408,9985424,9985424,0
1710,407,9985016,9985448,27
1711,408,9985016,9985088,4
1712,409,9984992,9985088,6
1713,410,9985088,9985088,0
1714,409,9984704,9985448,46
1715,410,9985448,9985448,0
1716,407,9985352,9986192,52
1717,408,9985352,9984824,-33
1718,409,9985352,9985304,-3
1719,410,9985280,9985304,1
1720,411,9985304,9985304,0
1721,410,9984800,9984824,1
1722,411,9984872,9984824,-3
1723,412,9984824,9984824,0
1724,410,9984896,9986192,81
1725,411,9984896,9985472,36
1726,412,9985640,9985472,-11
1727,413,9985640,9985496,-9
1728,414,9985664,9985496,-11
1729,415,9985664,9985928,16
1730,416,9985688,9985928,15
1731,417,9985688,9986000,19
1732,418,9985712,9986000,18
1733,419,9986000,9986000,0
1734,418,9985928,9985928,0
1735,417,9985880,9985496,-24
1736,418,9985616,9985496,-8
1737,419,9985496,9985496,0
1738,416,9985904,9985472,-27
1739,417,9985472,9985472,0
1740,415,9985544,9986192,40
1741,416,9985544,9985784,15
1742,417,9985736,9985784,3
1743,418,9985736,9985976,15
1744,419,9985760,9985976,13
1745,420,9985568,9985976,25
1746,421,9985952,9985976,1
1747,422,9985976,9985976,0
1748,419,9986096,9985784,-20
1749,420,9985784,9985784,0
1750,418,9985832,9986192,22
1751,419,9986048,9986192,9
1752,420,9986168,9986192,1
1753,421,9986072,9986192,7
1754,422,9986192,9986192,0
1755,415,9986144,9989232,193
1756,416,9986144,9989760,226
